ratio,type,collisions
0.05,Random,218
0.05,Random,223
0.05,Random,214
0.05,Random,228
0.05,Random,222
0.05,Random,226
0.05,Random,223
0.05,Random,214
0.05,Random,232
0.05,Random,220
0.05,Random,223
0.05,Random,221
0.05,Random,190
0.05,Random,243
0.05,Random,208
0.05,Random,219
0.05,Random,224
0.05,Random,201
0.05,Random,240
0.05,Random,209
0.05,Random,243
0.05,Random,203
0.05,Random,210
0.05,Random,204
0.05,Random,216
0.05,Random,208
0.05,Random,220
0.05,Random,250
0.05,Random,236
0.05,Random,226
0.05,Random,208
0.05,Random,215
0.05,Random,218
0.05,Random,203
0.05,Random,221
0.05,Random,230
0.05,Random,228
0.05,Random,222
0.05,Random,222
0.05,Random,224
0.05,Random,228
0.05,Random,225
0.05,Random,222
0.05,Random,219
0.05,Random,222
0.05,Random,221
0.05,Random,215
0.05,Random,220
0.05,Random,213
0.05,Random,202
0.05,AES,150
0.1,Random,790
0.1,Random,760
0.1,Random,796
0.1,Random,806
0.1,Random,825
0.1,Random,810
0.1,Random,784
0.1,Random,766
0.1,Random,831
0.1,Random,796
0.1,Random,765
0.1,Random,782
0.1,Random,782
0.1,Random,812
0.1,Random,791
0.1,Random,750
0.1,Random,754
0.1,Random,772
0.1,Random,807
0.1,Random,747
0.1,Random,800
0.1,Random,766
0.1,Random,786
0.1,Random,811
0.1,Random,731
0.1,Random,782
0.1,Random,752
0.1,Random,782
0.1,Random,767
0.1,Random,789
0.1,Random,764
0.1,Random,775
0.1,Random,790
0.1,Random,775
0.1,Random,773
0.1,Random,795
0.1,Random,780
0.1,Random,740
0.1,Random,780
0.1,Random,788
0.1,Random,788
0.1,Random,805
0.1,Random,788
0.1,Random,741
0.1,Random,783
0.1,Random,794
0.1,Random,801
0.1,Random,786
0.1,Random,792
0.1,Random,768
0.1,AES,617
