type,sample_id,local_pcc,on_set_size
Clean,0,0.16696578604897727,270
Clean,1,0.09862951949634491,132
Clean,2,0.0004816013241146777,7
Clean,3,0.1461732790526229,276
Clean,4,0.017262509662186787,44
Clean,5,0.13070223890889454,255
Clean,6,0.13179894675905812,234
Clean,7,0.0874784956827348,102
Clean,8,0.13826386812114833,182
Clean,9,0.1479770758510739,229
Clean,10,0.13893591145358086,289
Clean,11,0.11728281944419616,167
Clean,12,0.0636664540125853,107
Clean,13,0.0003554507432719234,9
Clean,14,0.009806983847046702,35
Clean,15,0.13030021495270327,184
Clean,16,0.04716525173835473,98
Clean,17,0.0,4
Clean,18,0.0020634872844746965,7
Clean,19,0.033853642793179706,86
Clean,20,0.006914281617190987,19
Clean,21,0.0,2
Clean,22,0.12242032888292909,235
Clean,23,0.0,2
Clean,24,0.14461916230631178,286
Clean,25,0.11760795441851579,162
Clean,26,0.03822308111778039,64
Clean,27,0.05826847186810191,92
Clean,28,0.0701404257560374,103
Clean,29,0.12638237958077703,161
Clean,30,0.13612128087268682,188
Clean,31,0.19184264811214224,269
Clean,32,0.12948527244089658,182
Clean,33,0.009632724750173516,27
Clean,34,0.1870983815778744,297
Clean,35,0.1262176309927341,202
Clean,36,0.0049639003882284705,34
Clean,37,0.12963526538648518,210
Clean,38,0.11477246703581256,217
Clean,39,0.14009041834950664,260
Clean,40,0.10609521836782321,133
Clean,41,0.17264736669832348,270
Clean,42,0.07055095919751952,109
Clean,43,0.04182533377806896,119
Clean,44,0.1342447111260392,190
Clean,45,0.021187682022336674,42
Clean,46,0.0995602511830711,133
Clean,47,0.01012986616757594,31
Clean,48,0.13753526658363002,206
Clean,49,0.006325263165593675,35
Adversarial,0,0.27097979656319016,243
Adversarial,1,0.30021022632961625,253
Adversarial,2,0.0,1
Adversarial,3,0.2681442287738731,220
Adversarial,4,0.01118101605911459,26
Adversarial,5,0.05564826366225528,67
Adversarial,6,0.047329455689466116,48
Adversarial,7,0.3322962568614347,263
Adversarial,8,0.31426578923169934,226
Adversarial,9,0.02039018003710158,47
Adversarial,10,0.2568357677532127,161
Adversarial,11,0.18363327772064242,105
Adversarial,12,0.022617054504351586,54
Adversarial,13,0.0014435258453229238,13
Adversarial,14,0.20656120415517987,203
Adversarial,15,0.05197623432565113,82
Adversarial,16,0.32433027949150817,257
Adversarial,17,0.1282971932569641,121
Adversarial,18,0.019765669563185817,28
Adversarial,19,0.2671348424118962,267
Adversarial,20,0.04742084396699919,53
Adversarial,21,0.126584450893531,137
Adversarial,22,0.22252009118044835,276
Adversarial,23,0.26353007371914394,223
Adversarial,24,0.2958742107177903,290
Adversarial,25,0.20415866190377496,180
Adversarial,26,0.2599357988820712,227
Adversarial,27,0.233445906370636,255
Adversarial,28,0.2883809983682948,261
Adversarial,29,0.32943261199891793,273
Adversarial,30,0.1522537006675453,110
Adversarial,31,0.3804169258804668,258
Adversarial,32,0.12415560823875893,101
Adversarial,33,0.0,1
Adversarial,34,0.2677985805762191,297
Adversarial,35,0.23206390798135246,273
Adversarial,36,0.0,3
Adversarial,37,0.005712706431143744,27
Adversarial,38,0.1442935731162085,145
Adversarial,39,0.28915483428716016,272
Adversarial,40,0.0861763180344215,121
Adversarial,41,0.17496284271097173,181
Adversarial,42,0.07276640637449283,82
Adversarial,43,0.0304321660217024,33
Adversarial,44,0.2216931286356858,271
Adversarial,45,0.0,2
Adversarial,46,0.22733506188369468,202
Adversarial,47,0.08689282123915287,89
Adversarial,48,0.11857421879129149,111
Adversarial,49,0.28223576142617546,236
